simply_label,JMJD3_0,JMJD3_1,IRF4_0,IRF4_1,HIF1a_0,HIF1a_1,ERK_0,ERK_1,IRF3_0,IRF3_1,TRAF2_0,TRAF2_1,JNK_0,JNK_1,KLF4_0,KLF4_1,SOCS1_0,SOCS1_1,PPARG_0,PPARG_1,STAT3_IL6_0,STAT3_IL6_1,STAT3_IL10_0,STAT3_IL10_1,SOCS3_0,SOCS3_1,ISGF3_0,ISGF3_1,NFKB_0,NFKB_1,AP1_0,AP1_1,IRF1_0,IRF1_1,IRF7_0,IRF7_1,STAT1_0,STAT1_1,STAT5_0,STAT5_1,STAT4_0,STAT4_1,STAT6_0,STAT6_1,Other_0,Other_1,D1_0,D1_1,FCGR_0,FCGR_1,IL6R_0,IL6R_1,TLR4_0,TLR4_1,IL1R_0,IL1R_1,IFNAR1_0,IFNAR1_1,TNFR_0,TNFR_1,IL10R_0,IL10R_1,IFNGR_0,IFNGR_1,A2aR_0,A2aR_1,CSF2Ra_0,CSF2Ra_1,IL4Ra_0,IL4Ra_1,IL12R_0,IL12R_1,IFNG_e_0,IFNG_e_1,GMCSF_e_0,GMCSF_e_1,IL1B_e_0,IL1B_e_1,IgG_e_0,IgG_e_1,LPS_e_0,LPS_e_1,Adenosine_e_0,Adenosine_e_1,EGFR_e_0,EGFR_e_1,IL4_e_0,IL4_e_1,IL6_e_0,IL6_e_1,IL10_e_0,IL10_e_1,IFNb_e_0,IFNb_e_1,TNFa_e_0,TNFa_e_1,IL12_e_0,IL12_e_1,IFNb_low_0,IFNb_low_1,IFNa_out_0,IFNa_out_1,IFNG_out_0,IFNG_out_1,IFNb_out_0,IFNb_out_1,CXCL10_out_0,CXCL10_out_1,IL12_out_0,IL12_out_1,VEGF_out_0,VEGF_out_1,IL6_out_0,IL6_out_1,IL10_out_0,IL10_out_1,TNFa_out_0,TNFa_out_1
dIL12M1M2/M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dIL12M1M2/M2*,,,,,,,,,,,,,,,,,,,,,,,256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,0,,
dIL12M1M2/M2d*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,224,,,,,,
il6,5760,5760,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,5760,9600,9600,9600,6400,6400,0,30720,6400,12800,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,0,9600,9600,9600,9600,9600,7680,3840,9600,9600,9600,9600,15360,0,6400,9600,9600,9600,9600,9600,9600,9600,9600,9600,0,19200,0,9600,9600,9600,9600,9600,7680,11520,9600,9600,4800,4800,4800,4800,5760,3840,7680,1920,5760,3840,4800,4800,6400,3200,3840,5760,4800,4800,0,9600,4800,4800,4800,4800,4800,4800,9600,9600,12480,9600,4800,9600,9600,9600,9600,9600,30720,0,9600,0,0,9600,9600,0,9600,9600
il6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2880,0,,,,,,,,,,,,,,,,
il6/M2*,,,,,,,,,,,,,,,,,256,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
il6/M2/M2a,,,,,,,,,,,,,,,,,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
il6/M2/M2a*,,,,,,,,,,,,,,,,,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
il6/M2/M2d*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,0,,,,,,,,
il6/M2b*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
il6/M2c*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
il6/M2cd*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,0,,
